nom_chanson,nom_album,date_sortie,nom_artiste
"Ya habibi taala (Mon amour, viens vite)",Le coeur a ses raisons,1935,
Sahirtou toul el leil (J'ai veillé toute la nuit),Le coeur a ses raisons,1935,Asmahan
Enta hataraf,Ahwa,1938,Asmaham
Mademoiselle Chante le blues,Mademoiselle Chante,1988,
Des mensonges En Musique,Mademoiselle Chante,1988,Patricia kaas
Tears of gold,you don't know me ,2019,Faouzia
love me now,Darkness and Light,2016,Jhon legend
Harder to Breathe,Songs About Jane,2002,Maroon 5
Les hommes qui passent,Scéne de vie,1990,Patricia Kaas
If you Go away,Paino Bar,2002,Patricia Kaas
Bambino,Son nom est Dalida,1957,Dalida
Going Under,Fallen,2002,Evanescence
This love,Songs About Jane,2002,Maroon 5
Hanted,Fallen,2002,Evanescence
Dusk till Dawn,Icarus Falls,2018,zayn malik
Diggin',Shades of Black,2015,
Shiver ,Songs About Jane,2002,Maroon 5
She Will Be Loved ,Songs About Jane,2002,Maroon 5
Tangled ,Songs About Jane,2002,Maroon 5
The Sun ,Songs About Jane,2002,Maroon 5
Must Get Out ,Songs About Jane,2002,Maroon 5
Sunday Morning ,Songs About Jane,2002,Maroon 5
Secret ,Songs About Jane,2002,Maroon 5
Through with You ,Songs About Jane,2002,Maroon 5
Not Coming Home ,Songs About Jane,2002,Maroon 5
Sweetest Goodbye ,Songs About Jane,2002,Maroon 5
I want it that way,Millennium,1999,Backstreet Boys
Curtains Up,Encore,2004,Eminem
Evil Deeds,Encore,2004,Eminem
Never Enough,Encore,2004,Eminem
Yellow Brick Road,Encore,2004,Eminem
Like Toy Soldiers,Encore,2004,Eminem
Mosh,Encore,2004,Eminem
Puke,Encore,2004,Eminem
My 1st Single,Encore,2004,Eminem
Paul,Encore,2004,Eminem
Rain Man,Encore,2004,Eminem
Big Weenie,Encore,2004,Eminem
,Encore,2004,Eminem
Just Lose It,Encore,2004,Eminem
Ass Like That,Encore,2004,Eminem
Spend Some Time,Encore,2004,Eminem
Mockingbird,Encore,2004,Eminem
Crazy in Love,Encore,2004,Eminem
One Shot 2 Shot,Encore,2004,Eminem
Final Thought,Encore,2004,Eminem
Encore/Curtains Down,Encore,2004,Eminem
What's My Name?,Loud,2010,Rihanna
California King Bed,Loud,2010,Rihanna
Man Down,Loud,2010,Rihanna
C'est la vie,C'est la vie,2012,Cheb Khaled
Hiya Hiya,C'est la vie,2012,Cheb Khaled
Encore une fois,C'est la vie,2012,Cheb Khaled
Ça fait des années,Vintage,2020,Soolking
Meleğim,Vintage,2020,Soolking
Wahda,Vintage,2020,Soolking
La Kichta,Vintage,2020,Soolking
Stan,The Marshall Mathers LP,2000,Eminem
The Way I Am,The Marshall Mathers LP,2000,Eminem
The Real Slim Shady,The Marshall Mathers LP,2000,Eminem
Remember Me?,The Marshall Mathers LP,2000,Eminem
I'm Back,The Marshall Mathers LP,2000,Eminem
50 Shades Of Black,Shades Of Black,2015,Kovacs
The Devil You Know,Shades Of Black,2015,Kovacs
My Love,Shades Of Black,2015,Kovacs
Diggin',Shades Of Black,2015,Kovacs
Fool Like You,Shades Of Black,2015,Kovacs
Bambino,Son nom est Dalida,1957,Dalida
Parle Plus Bas,Son nom est Dalida,1957,Dalida
Mama,Son nom est Dalida,1957,Dalida
Comment Faire Pour Oublier,Son nom est Dalida,1957,Dalida
Est-ce que tu m'aimes ?,Mon cœur avait raison,2015,Maître Gims
Angelina,Mon cœur avait raison,2015,Maître Gims
Brisé,Mon cœur avait raison,2015,Maître Gims
i want it that way,Millennium,1999,Backstreet Boys
Larger than life,Millennium,1999,Backstreet Boys
show me the meaning of being lonely,Millennium,1999,Backstreet Boys
the one,Millennium,1999,Backstreet Boys
please forgive me,So Far So Good,1993,Bryan Adams
look what you made me do,Reputation,2017,Taylor Swift
End game,Reputation,2017,Taylor Swift
gorgeous,Reputation,2017,Taylor Swift
delicate,Reputation,2017,Taylor Swift
call it what you want,Reputation,2017,Taylor Swift
Hello,Can't Slow Down,1983,Lionel Richie
