nom_album,nom_artiste,prix,nombre_vente,code_postal
Songs About Jane,Maroon 5,11.35,1358024,75001
It Won't Be Soon Before Long,Maroon 5,19.99,785326,75013
Encore,Eminem,23.24,1118321,75012
Fallen,Evanescence,8.99,1203212,75004
Shades Of Black,Kovacs,20.99,176324,75018
Son nom est Dalida,Dalida,16.99,1205543,75018
Millennium,Backstreet Boys,"4,41",19052574,75
So Far So Good,Bryan Adams,"4,06",7052872,75005
Reputation,Taylor Swift,"15,98",5852439,75005
Can't Slow Down,Lionel Richie,10,6497841,75005
