"nom_album";"genre";"date_sortie";"chanson";"nombre_ecoute";"nom_artiste"
"off the wall";"rock";"1979";"rock with you";"400,000,000";"Michael Jackson"
"Thank U, Next";"POP";"2019";"thank u next";"100,000,000";"Ariana grande"
"The album";"K-pop";"1500";"Ice cream";"300,000,000";"Black Pink"
"Rubber Soul";"ROCK";"1965";"you won't see me";"23,873,156";"The Beatles"
"Mademoiselle Chante";"Blues";"1988";"Mon mec à moi";"6,186,475";"Patricia Kaas"
"Mahatet Masr";"Folk";"2009";"10";"73,621";"Donia Massoud"
"Le coeur a ses raisons";"arabic";"1935";"9";"637,256";"Asmahan"
"Fallen";"Rock";"2002";"going under";"428,543,405";"Evanescence"
"The Marshall Mathers LP";"Rap";"2000";"stan";"20,873,223";"Eminem"
"Loud";"R&B";"2010";"sometimes, all the time";"4,576,432";"Rihanna"
"C'est la vie";"Rai";"2012";"C'est la vie";"12,332,875";"Cheb Khaled"
"Vintage";"HipHop";"2020";"Marbella";"1,237,570";"Soolking"
"Mon cœur avait raison";"Rap";"2015";"Est-ce que tu m'aimes ?";"";"Maître Gims"
"So Far So Good";"Rock";"1993";"please forgive me";"";"Bryan Adams"
"Millennium";"Pop";"1999";"i want it that way";"";"Backstreet Boys"
"Reputation";"Electropop";"2017";"look what you made me do";"";"Taylor Swift"
"Can't Slow Down";"Pop";"1983";"Hello";"";"Lionel Richie"
"Shades Of Black";"Soul";"2015";"50 Shades Of Black";"3,108,667";"Kovacs"
"Shades Of Black";"Soul";"2015";"The Devil You Know";"3,891,189";"Kovacs"
"Shades Of Black";"Soul";"2015";"My Love";"13,307,607";"Kovacs"
"Shades Of Black";"Soul";"2015";"Diggin'";"5,114,189";"Kovacs"
"Shades Of Black";"Soul";"2015";"Fool Like You";"1,986,468";"Kovacs"
"Son nom est Dalida";"Pop";"1957";"Bambino";"20,529,323";"Dalida"
"Son nom est Dalida";"Pop";"1957";"Parle Plus Bas";"4,189,114";"Dalida"
"Son nom est Dalida";"Pop";"1957";"Mama";"8,212,586";"Dalida"
"Son nom est Dalida";"Pop";"1957";"Comment Faire Pour Oublier";"6,779,294";"Dalida"
"It Won't Be Soon Before Long";"ROCK";"2007";"Makes me Wonder";"350,150,782";"Maroon 5"
"Songs About Jane";"POP";"2002";"This love";"12,076,356";"Maroon 5"
"Encore";"Rap";"2004";"Never enough";"32,157,223";"Eminem"
"Songs About Jane";"ROCK";"2002";"Shiver ";"35,573,126";"Maroon 5"
"Songs About Jane";"ROCK";"2002";"She Will Be Loved ";"15,548,786";"Maroon 5"
"Songs About Jane";"ROCK";"2002";"Tangled ";"22,455,864";"Maroon 5"
"Songs About Jane";"ROCK";"2002";"The Sun ";"17,478,156";"Maroon 5"
"Songs About Jane";"ROCK";"2002";"Must Get Out ";"14,158,785";"Maroon 5"
"Songs About Jane";"ROCK";"2002";"Sunday Morning ";"13,125,452";"Maroon 5"
"Songs About Jane";"ROCK";"2002";"Secret ";"11,123,152";"Maroon 5"
"Songs About Jane";"ROCK";"2002";"Through with You ";"13,782,791";"Maroon 5"
"Songs About Jane";"ROCK";"2002";"Not Coming Home ";"14,458,195";"Maroon 5"
"Songs About Jane";"ROCK";"2002";"Sweetest Goodbye ";"55,489,512";"Maroon 5"
"Encore";"Rap";"2004";"Curtains Up";"8,155,147";"Eminem"
"Encore";"Rap";"2004";"Evil Deeds";"10,126,159";"Eminem"
"Encore";"Rap";"2004";"Never Enough";"13,147,326";"Eminem"
"Encore";"Rap";"2004";"Yellow Brick Road";"12,153,452";"Eminem"
"Encore";"Rap";"2004";"Like Toy Soldiers";"12,479,167";"Eminem"
"Encore";"Rap";"2004";"Mosh";"11,256,168";"Eminem"
"Encore";"Rap";"2004";"Puke";"10,356,183";"Eminem"
"Encore";"Rap";"2004";"My 1st Single";"9,125,457";"Eminem"
"Encore";"Rap";"2004";"Paul";"45,782,732";"Eminem"
"Encore";"Rap";"2004";"Rain Man";"44,689,325";"Eminem"
